1301-1350, 2136524
1801-1850, 12243926
1551-1600, 9532184
1201-1250, 575218
1851-1900, 3040438
1451-1500, 9901967
1351-1400, 2711742
1651-1700, 16352626
1251-1300, 862827
1701-1750, 10641533
1151-1200, 493044
1751-1800, 10805881
1101-1150, 780653
1401-1450, 4683918
1601-1650, 21324153
1501-1550, 13271101
