"ratios","interessante regioner"
0.01, 25371
0.06, 28253
0.11, 29887
0.16, 32411
0.21, 34487
0.26, 36893
0.31, 38279
0.36, 40125
0.41, 41486
0.46, 42852
0.51, 43757
0.56, 45018
0.61, 45038
0.66, 44150
0.71, 43766
0.76, 44003
0.81, 43766
0.86, 44235
0.91, 47848
0.96, 45095
