"ratios","interessante regioner"
Spanish, 1.81818181818
Netherlandish, 4.52631578947
Greek, 4.0
Danish, 0.0
Dutch, 2.296875
America, 4.0
French, 1.6
Russia, 2.16666666667
Othe, 2.0
