"ratios","interessante regioner"
3, 33940
8, 38095
13, 39167
18, 38940
23, 40322
28, 40945
33, 42516
G, 42884
43, 44040
48, 44660
52, 44108
57, 43938
G, 44042
67, 43027
72, 42163
77, 41475
82, 39603
87, 40135
92, 39414
97, 35200
