"ratios","interessante regioner"
Swedish, 2.11764705882
Othe, 3.16666666667
Dutch, 2.39114724481
Polish, 3.18181818182
Belgia, 1.5
Danish, 2.52631578947
Hungaria, 2.52112676056
Norwegia, 1.75
Netherlandish, 3.84860557769
French, 2.55310006139
Catala, 4.82608695652
Russia, 1.75862068966
Spanish, 2.41036717063
Greek, 4.55555555556
America, 2.11627906977
Bohemia, 3.1
Swiss, 2.84126984127
Italia, 3.56309503202
Portuguese, 3.77777777778
Irish, 3.0
Flemish, 3.22140608604
Germa, 3.12554585153
Scottish, 1.0
Austria, 2.76691729323
