"ratios","interessante regioner"
1101-1150, 3.78947368421
1151-1200, 4.72289156627
1201-1250, 2.5
1251-1300, 3.81081081081
1301-1350, 5.07777777778
1351-1400, 4.30167597765
1401-1450, 4.75914249685
1451-1500, 4.15081206497
1501-1550, 3.29301204819
1551-1600, 3.01388888889
1601-1650, 2.44293478261
1651-1700, 2.34114285714
1701-1750, 2.6285452882
1751-1800, 2.33333333333
1801-1850, 2.15409482759
1851-1900, 2.11731843575
