"ratios","interessante regioner"
4, 25371
9, 28253
14, 29887
19, 32411
24, 34487
29, 36893
34, 38279
G, 40125
44, 41486
49, 42852
51, 43757
56, 45018
G, 45038
66, 44150
71, 43766
76, 44003
81, 43766
86, 44235
91, 47848
96, 45095
