"ratios","interessante regioner"
Swedish, 0.823529411765
Othe, 1.5
Dutch, 1.79539295393
Polish, 1.09090909091
Belgia, 2.45833333333
Danish, 1.84210526316
Hungaria, 2.18309859155
Norwegia, 0.0
Netherlandish, 4.92828685259
French, 2.24432166974
Catala, 3.17391304348
Russia, 1.8275862069
Spanish, 2.23218142549
Greek, 4.77777777778
America, 1.37209302326
Bohemia, 2.95
Swiss, 2.50793650794
Italia, 3.5497663147
Portuguese, 3.11111111111
Irish, 1.0
Flemish, 3.08447009444
Germa, 2.89628820961
Scottish, 1.46428571429
Austria, 2.93233082707
