"ratios","interessante regioner"
1101-1150, 12.3157894737
1151-1200, 16.3253012048
1201-1250, 7.5
1251-1300, 15.3513513514
1301-1350, 19.6888888889
1351-1400, 15.6480446927
1401-1450, 18.2307692308
1451-1500, 16.8062645012
1501-1550, 13.28
1551-1600, 11.9143518519
1601-1650, 9.52207880435
1651-1700, 9.55085714286
1701-1750, 10.6075022873
1751-1800, 9.2633744856
1801-1850, 8.74892241379
1851-1900, 9.10055865922
