"ratios","interessante regioner"
Swedish, 17.0
Othe, 6.0
Dutch, 2214.0
Polish, 11.0
Belgia, 24.0
Danish, 19.0
Hungaria, 71.0
Norwegia, 4.0
Netherlandish, 251.0
French, 1629.0
Catala, 23.0
Russia, 29.0
Spanish, 926.0
Greek, 9.0
America, 43.0
Bohemia, 20.0
Swiss, 63.0
Italia, 5777.0
Portuguese, 18.0
Irish, 6.0
Flemish, 1906.0
Germa, 916.0
Scottish, 28.0
Austria, 133.0
