"ratios","interessante regioner"
1101-1150, 19.0
1151-1200, 83.0
1201-1250, 6.0
1251-1300, 37.0
1301-1350, 540.0
1351-1400, 179.0
1401-1450, 793.0
1451-1500, 1724.0
1501-1550, 2075.0
1551-1600, 1296.0
1601-1650, 2944.0
1651-1700, 1750.0
1701-1750, 1093.0
1751-1800, 729.0
1801-1850, 928.0
1851-1900, 179.0
