"ratios","interessante regioner"
Swedish, 1.76470588235
Othe, 2.5
Dutch, 2.95799457995
Polish, 1.0
Belgia, 1.375
Danish, 3.42105263158
Hungaria, 3.38028169014
Norwegia, 1.0
Netherlandish, 4.32270916335
French, 2.80233271946
Catala, 4.60869565217
Russia, 1.89655172414
Spanish, 2.47948164147
Greek, 4.22222222222
America, 2.18604651163
Bohemia, 3.8
Swiss, 2.95238095238
Italia, 3.58559806128
Portuguese, 3.16666666667
Irish, 3.16666666667
Flemish, 3.32581322141
Germa, 3.23471615721
Scottish, 1.21428571429
Austria, 2.83458646617
