"ratios","interessante regioner"
3, 283
8, 377
13, 383
18, 364
23, 367
28, 417
33, 435
G, 492
43, 510
48, 518
52, 527
57, 459
G, 499
67, 532
72, 552
77, 521
82, 541
87, 480
92, 433
97, 320
