"ratios","interessante regioner"
Swedish, 0.0
Othe, 1.0
Dutch, 64.0
Polish, 0.0
Belgia, 0.0
Danish, 1.0
Hungaria, 0.0
Norwegia, 0.0
Netherlandish, 19.0
French, 5.0
Catala, 0.0
Russia, 6.0
Spanish, 22.0
Greek, 2.0
America, 1.0
Bohemia, 0.0
Swiss, 2.0
Italia, 337.0
Portuguese, 0.0
Irish, 1.0
Flemish, 16.0
Germa, 40.0
Scottish, 0.0
Austria, 7.0
