"ratios","interessante regioner"
4, 623
9, 473
14, 405
19, 405
24, 439
29, 402
34, 399
G, 411
44, 406
49, 352
51, 647
56, 447
G, 421
66, 458
71, 396
76, 413
81, 394
86, 432
91, 434
96, 338
