"ratios","interessante regioner"
1101-1150, 0.0
1151-1200, 0.0
1201-1250, 0.0
1251-1300, 0.0
1301-1350, 0.0
1351-1400, 27.0
1401-1450, 143.0
1451-1500, 38.0
1501-1550, 112.0
1551-1600, 32.0
1601-1650, 85.0
1651-1700, 42.0
1701-1750, 18.0
1751-1800, 11.0
1801-1850, 14.0
1851-1900, 2.0
